ID,Requirement_Text,ISO_Category,ISO_Sub_Category,Keywords,Confidence,Source
73,The system shall locate the preferred repair facility with the highest ratings for the input criteria,Functionality,Suitability,locate preferred repair facility highest,Medium,extended_csv
74,The adjuster shall enter the preferred repair facility on the estimate assignment,Functionality,Suitability,adjuster enter preferred repair facility,Medium,extended_csv
75,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment,Functionality,Suitability,adjuster override preferred repair facitlity,Medium,extended_csv
76,The preferred repair facility shall be returned to the user,Functionality,Suitability,preferred repair facility returned,Medium,extended_csv
77,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined,Functionality,Suitability,repair return list facilities radius,Medium,extended_csv
78,The estimator shall search for available recycled parts using damaged vehicle parts information,Functionality,Suitability,parts estimator search available recycled,Medium,extended_csv
79,The estimator shall search for available recycled parts using a list of preferred parts suppliers,Functionality,Suitability,parts estimator search available recycled,Medium,extended_csv
80,The system shall search for available recycled parts for the supplied vehicle parts and suppliers,Functionality,Suitability,parts search available recycled supplied,Medium,extended_csv
81,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,Functionality,Suitability,parts estimator search zipcode radius,Medium,extended_csv
82,The system shall retain the available recycled parts and suppliers returned from the search,Functionality,Suitability,retain available recycled parts suppliers,Medium,extended_csv
83,The available recycled parts information and their suppliers shall be returned to the user,Functionality,Suitability,available recycled parts information suppliers,Medium,extended_csv
84,The estimator shall apply selected recycled parts to the collision estimate,Functionality,Suitability,estimator apply selected recycled parts,Medium,extended_csv
85,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned,Functionality,Suitability,parts estimator apply recycled collision,Medium,extended_csv
86,The adjuster shall review the collision estimate,Functionality,Suitability,adjuster review collision estimate,Medium,extended_csv
87,The recycled parts search results provided to the estimator shall be retrieved by the system,Functionality,Suitability,recycled parts search results estimator,High,extended_csv
88,The audit report shall include the number of available recycled parts from the original search results,Functionality,Suitability,audit report include number available,High,extended_csv
89,The audit report shall be displayed to the user,Functionality,Suitability,audit report displayed,High,extended_csv
90,The user shall select to view the preferred repair facility ratings,Functionality,Suitability,select view preferred repair facility,Medium,extended_csv
91,The current repair facility ratings shall be displayed to the user,Functionality,Suitability,current repair facility ratings displayed,Medium,extended_csv
92,The system will display a blank set of ratings if there are not ratings yet defined,Functionality,Suitability,ratings display blank set yet,Medium,extended_csv
93,The ratings shall be from a scale of 1-10,Functionality,Suitability,ratings scale,Medium,extended_csv
94,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,Functionality,Suitability,recycled parts ratings include categories,Medium,extended_csv
95,The user shall select to save the preferred repair facility ratings,Functionality,Suitability,select save preferred repair facility,Medium,extended_csv
96,The preferred repair facility ratings shall be saved by the system,Functionality,Suitability,preferred repair facility ratings saved,Medium,extended_csv
97,The product shall record meeting entries,Functionality,Suitability,record meeting entries,Medium,extended_csv
98,The product will notify employees of meeting invitations,Functionality,Suitability,notify employees meeting invitations,Medium,extended_csv
99,The product shall have the ability to send meeting reminders to employees,Functionality,Suitability,ability send meeting reminders employees,Medium,extended_csv
100,The product shall assign the organizers contact information to each meeting they create,Functionality,Suitability,assign organizers contact information meeting,Medium,extended_csv
101,The product will record meeting acknowledgements,Functionality,Suitability,record meeting acknowledgements,Medium,extended_csv
102,The product shall store new conference rooms,Functionality,Suitability,store conference rooms,Medium,extended_csv
103,The product shall update existing conference rooms,Functionality,Suitability,update existing conference rooms,Medium,extended_csv
104,The product will be able to delete conference rooms,Functionality,Suitability,delete conference rooms,Medium,extended_csv
105,The product shall be able to store new room equipment,Functionality,Suitability,store room equipment,Medium,extended_csv
106,The product will update existing room equipment,Functionality,Suitability,update existing room equipment,Medium,extended_csv
107,The product shall be able to delete room equipment,Functionality,Suitability,delete room equipment,Medium,extended_csv
108,The product shall allow an organizer to invite other employees to meetings,Functionality,Suitability,allow organizer invite employees meetings,Medium,extended_csv
109,Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation,Functionality,Suitability,conference room reserved schedule updated,Medium,extended_csv
110,The product shall record the transportation status of equipment reserved,Functionality,Suitability,record transportation status equipment reserved,Medium,extended_csv
111,The product shall display a map of the company building showing conference room locations,Functionality,Suitability,display map company building showing,Medium,extended_csv
112,The product shall record updated meeting agendas,Functionality,Suitability,record updated meeting agendas,High,extended_csv
113,The product shall send a meeting confirmation to the meeting organizer,Functionality,Suitability,meeting send confirmation organizer,Medium,extended_csv
114,The product shall display room equipment according to search parameters,Functionality,Suitability,display room equipment according search,High,extended_csv
115,The product shall display conference rooms according to search parameters,Functionality,Suitability,display conference rooms according search,High,extended_csv
116,The product shall record different meeting types,Functionality,Suitability,record different meeting types,Medium,extended_csv
117,The product shall record all the equipment that has been reserved,Functionality,Suitability,record equipment reserved,Medium,extended_csv
118,The product shall notify building personnel of equipment transport requests,Functionality,Suitability,notify building personnel equipment transport,Medium,extended_csv
119,The product will allow priviledged users to view meeting schedules in multiple reporting views,Functionality,Suitability,allow priviledged view meeting schedules,Medium,extended_csv
120,The product shall be able to send meeting notifications via different kinds of end-user specified methods,Functionality,Suitability,send meeting notifications via different,Medium,extended_csv
121,The product shall have a customizable Look and Feel,Functionality,Suitability,customizable look feel,Medium,extended_csv
122,The product will display an available status for unreserved conference rooms,Functionality,Suitability,display available status unreserved conference,Medium,extended_csv
123,The System shall allow generation of Inventory Quantity Adjustment documents on demand,Functionality,Suitability,allow generation inventory quantity adjustment,Medium,extended_csv
124,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time,Functionality,Suitability,allow demand generation inventory quantity,Medium,extended_csv
125,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly,Functionality,Suitability,inventory iqa subsystem take account,Medium,extended_csv
126,The System shall allow entering storing and modifying product formulas,Functionality,Suitability,allow entering storing modifying formulas,Medium,extended_csv
127,Product formulas shall allow use of semi-products which have own formulas,Functionality,Suitability,formulas allow semi products own,Medium,extended_csv
128,Product formula ingredients shall allow defining substitutionary ingredients,Functionality,Suitability,ingredients formula allow defining substitutionary,Medium,extended_csv
129,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem,Functionality,Suitability,formula substitutionary ingredients entered automatically,Medium,extended_csv
130,Formula substitutionary ingredients shall be kept in persisted order,Functionality,Suitability,formula substitutionary ingredients kept persisted,Medium,extended_csv
131,Product shall allow entering storing and modifying product menus used by POS terminals,Functionality,Suitability,allow entering storing modifying menus,Medium,extended_csv
132,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system,Functionality,Suitability,pme subsystem allow building menus,Medium,extended_csv
133,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order,Functionality,Suitability,submenus pme subsystem allow keeping,High,extended_csv
134,PME Subsystem shall allow for a product to exist in more than one submenu,Functionality,Suitability,pme subsystem allow exist one,Medium,extended_csv
135,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive,Functionality,Suitability,rms windows look feel gui,Medium,extended_csv
136,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas,Functionality,Suitability,generate inventory quantity adjustment document,Medium,extended_csv
137,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available,Functionality,Suitability,generate inventory quantity adjustment document,Medium,extended_csv
138,The website will allow customers to search for movies by title actor or director,Functionality,Suitability,website allow customers search movies,Medium,extended_csv
139,Viewing a movie details the website will display the movies description actor and director entered in by the administrator,Functionality,Suitability,viewing movie details website display,Medium,extended_csv
140,Website shall request and authorize credit card payment before allowing a user to stream a movie,Functionality,Suitability,website request authorize credit card,Medium,extended_csv
141,Shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date,Functionality,Suitability,stream purchased movie via windows,Medium,extended_csv
142,Website shall allow customers to browse movies by categories entered in by izogn administrator,Functionality,Suitability,website allow customers browse movies,Medium,extended_csv
143,Website shall allow customers to view reviews of selected movies by other customers,Functionality,Suitability,customers website allow view reviews,Medium,extended_csv
144,Website shall allow customers to add their own movie review for a selected movie,Functionality,Suitability,movie website allow customers add,Medium,extended_csv
145,Website shall allow the Izogn administrator to approve a review posted by a customer,Functionality,Suitability,website allow izogn administrator approve,Medium,extended_csv
146,System will allow customers to pay for a streaming movie with a pre-paid card,Functionality,Suitability,allow customers pay streaming movie,Medium,extended_csv
147,Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option,Functionality,Suitability,website allow customers purchase pre,Medium,extended_csv
148,System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website,Functionality,Suitability,website automatically update main page,Medium,extended_csv
149,System shall allow users to update their billing and contact information via the My Account section of the website,Functionality,Suitability,allow update billing contact information,High,extended_csv
150,Pre-paid cards shall be distributed via email or via a printed paper card,Functionality,Suitability,via pre paid cards distributed,Medium,extended_csv
151,Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie,Functionality,Suitability,movie movies streamed customer purchased,High,extended_csv
152,Website must be able to support free trial periods with various parameters set by the Izogn Manager,Functionality,Suitability,website support free trial periods,High,extended_csv
153,All streaming movie sales will be logged in the database and accessible by the administrator,Functionality,Suitability,streaming movie sales logged database,High,extended_csv
154,All registered customer information shall be stored and maintained in the database even after the customer cancels their account,Functionality,Suitability,customer registered information stored maintained,Medium,extended_csv
155,Daily usage statistics should be logged and accessible by the administrator,Functionality,Suitability,daily usage statistics logged accessible,High,extended_csv
156,The owner shall have free access to all of the streaming movies,Functionality,Suitability,owner free access streaming movies,Medium,extended_csv
157,Vendor will submit a credit validation record to be applied to the enterprise billing system,Functionality,Suitability,vendor submit credit validation record,Medium,extended_csv
158,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system,Functionality,Suitability,lead scored high range supply,High,extended_csv
159,The leads washing functionality will validate all leads received by the web service for valid data,Functionality,Suitability,leads washing functionality validate received,High,extended_csv
160,The leads washing functionality will insert all leads captured by the web service,Functionality,Suitability,leads washing functionality insert captured,Medium,extended_csv
161,If the leads score falls within the high average score then it will be process by the ARA functionality,Functionality,Suitability,score leads falls high average,Medium,extended_csv
162,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system,Functionality,Suitability,leads score falls medium average,High,extended_csv
163,If the leads score falls within the low average then it will be returned to the supplying vendor,Functionality,Suitability,leads score falls low average,High,extended_csv
164,The leads washing functionality will compile both contact and academic scoring information for a total score,Functionality,Suitability,leads washing functionality compile contact,Medium,extended_csv
165,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead,Functionality,Suitability,leads washing functionality parameters supplied,Medium,extended_csv
166,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection,Functionality,Suitability,leads washing functionality return lead,Medium,extended_csv
167,The leads washing functionality will verify the users authentication and rights to make parameter updates,Functionality,Suitability,leads washing functionality verify authentication,Medium,extended_csv
168,The leads washing functionality will store any potential lead duplicates returned by the enterprise system,Functionality,Suitability,leads washing functionality store potential,Medium,extended_csv
169,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep,Functionality,Suitability,lead prior submitting enterprise leads,Medium,extended_csv
170,The leads washing functionality shall receive a period list of available reps from the enterprise system,Functionality,Suitability,leads washing functionality receive period,High,extended_csv
171,The product shall maintain a list of players,Functionality,Suitability,maintain list players,Medium,extended_csv
172,The product shall allow a user to identify himself or herself as a player,Functionality,Suitability,allow identify himself herself player,Medium,extended_csv
173,Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players,Functionality,Suitability,game players initiated make assigned,Medium,extended_csv
174,The product shall allow a user to remove himself or herself from the list of players at any time,Functionality,Suitability,allow remove himself herself list,Medium,extended_csv
175,The product shall make inactive players unavailable for selection from the list of players,Functionality,Suitability,players make inactive unavailable selection,Medium,extended_csv
176,The product shall remove players who have been inactive for 24 hours from the list of players,Functionality,Suitability,players remove inactive hours list,Medium,extended_csv
177,The product shall allow a player to initiate a game by selecting another available player from the list of players,Functionality,Suitability,player allow initiate game selecting,Medium,extended_csv
178,Once a game is initiated the product shall display a defensive grid to each player,Functionality,Suitability,game initiated display defensive grid,Medium,extended_csv
179,Once a game is initiated the product shall display an offensive grid to each player,Functionality,Suitability,game initiated display offensive grid,Medium,extended_csv
180,The product shall prevent a player from viewing the offensive or defensive grids of the other player,Functionality,Suitability,player prevent viewing offensive defensive,Medium,extended_csv
181,Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids,Functionality,Suitability,game initiated allow player position,Medium,extended_csv
182,The product shall allow a player to position ships horizontally on their grid,Functionality,Suitability,allow player position ships horizontally,Medium,extended_csv
183,The product shall allow the player to position ships vertically on their grid,Functionality,Suitability,allow player position ships vertically,Medium,extended_csv
184,The product shall allow the player to position ships diagonally on their grid,Functionality,Suitability,allow player position ships diagonally,Medium,extended_csv
185,The product shall prevent the player from overlapping ships on their grid,Functionality,Suitability,prevent player overlapping ships grid,Medium,extended_csv
186,When both players have positioned their 5 ships on their defensive grids the product shall define the status of each player for the first turn,Functionality,Suitability,players positioned ships defensive grids,Medium,extended_csv
187,For each turn the product shall identify one player as offensive status and one player as defensive status,Functionality,Suitability,one player status turn identify,Medium,extended_csv
188,The product shall maintain the status of each player for a turn either offensive or defensive,Functionality,Suitability,maintain status player turn offensive,Medium,extended_csv
189,At the start of each turn the product shall notify each player of his or her status,Functionality,Suitability,start turn notify player status,Medium,extended_csv
190,For each turn the product shall allow the offensive player to define a shot,Functionality,Suitability,turn allow offensive player define,Medium,extended_csv
191,For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss,Functionality,Suitability,shot defensive examine grid player,Medium,extended_csv
192,For each shot the product shall notify the players whether the shot was a hit or miss,Functionality,Suitability,shot notify players whether hit,Medium,extended_csv
193,For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player,Functionality,Suitability,shot defensive mark hit miss,Medium,extended_csv
194,For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player,Functionality,Suitability,shot offensive mark hit miss,Medium,extended_csv
195,When the hit results in sinking a ship the product shall notify the players that the ship was sunk,Functionality,Suitability,ship hit results sinking notify,Medium,extended_csv
196,When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player,Functionality,Suitability,ship defensive hit results sinking,Medium,extended_csv
197,When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player,Functionality,Suitability,ship defensive hit results sinking,Medium,extended_csv
198,When the hit results in sinking a ship the product shall mark the ship as sunk on the offensive grid of the offensive player,Functionality,Suitability,ship offensive hit results sinking,Medium,extended_csv
199,If the shot was marked as a hit the product shall allow the offensive player to define a shot,Functionality,Suitability,shot marked hit allow offensive,Medium,extended_csv
200,If the shot was marked as a miss the product shall change the status of the offensive player to defensive,Functionality,Suitability,shot marked miss change status,Medium,extended_csv
201,If the shot was marked as a miss the product shall change the status of the defensive player to offensive,Functionality,Suitability,shot marked miss change status,Medium,extended_csv
202,The product shall continue to assign turns until the game is ended,Functionality,Suitability,continue assign turns until game,Medium,extended_csv
203,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player s ships which had not been previously marked as sunk,Functionality,Suitability,player end game hit offensive,Medium,extended_csv
204,The product shall allow a player to end a game at any time during the game,Functionality,Suitability,game allow player end,Medium,extended_csv
205,When a game is ended the product shall notify the players that the game is ended,Functionality,Suitability,game ended notify players,Medium,extended_csv
206,The notification of the game ending will include the reason the game is ended (i.e. a player has won the game or a player has ended the game),Functionality,Suitability,game ended player notification ending,High,extended_csv
207,When a game is ended the product shall allow each player to identify himself or herself as an available player in the list of players,Functionality,Suitability,player game ended allow identify,Medium,extended_csv
208,When a game is ended the product shall allow each player to remove himself or herself from the list of players,Functionality,Suitability,game ended allow player remove,Medium,extended_csv
209,The system shall allow a real estate agent to query MLS information,Functionality,Suitability,allow real estate agent query,Medium,extended_csv
210,The user shall be able to get driving directions to a selected property,Functionality,Suitability,get driving directions selected property,Medium,extended_csv
211,The user shall be able to download appointments and contact information for clients,Functionality,Suitability,download appointments contact information clients,Medium,extended_csv
212,The system shall display clear property images in the search results,Functionality,Suitability,display clear property images search,High,extended_csv
213,The system shall be able to call the seller or buyer to schedule an appointment,Functionality,Suitability,call seller buyer schedule appointment,Medium,extended_csv
214,The realtor shall be notified of new client appointments after automatic synchronization with office system,Functionality,Suitability,realtor notified client appointments automatic,Medium,extended_csv
215,The realtor shall be able to retrieve a map showing property locations for a specified area,Functionality,Suitability,realtor retrieve map showing property,Medium,extended_csv
216,The system shall notify the realtor when a seller or buyer responds to an appointment request,Functionality,Suitability,notify realtor seller buyer responds,Medium,extended_csv
217,The product shall allow the user to save the property search results,Functionality,Suitability,allow save property search results,High,extended_csv
218,A cohort shall be associated to one Program of Study offered by the department,Functionality,Suitability,cohort associated one program study,Medium,extended_csv
219,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort,Functionality,Suitability,program administrators nursing staff members,Medium,extended_csv
220,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,Functionality,Suitability,program administrators nursing staff members,Medium,extended_csv
221,Students added to a cohort shall be eligible for the cohort s Program of Study,Functionality,Suitability,cohort students added eligible program,Medium,extended_csv
222,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort,Functionality,Suitability,program administrators nursing staff members,Medium,extended_csv
